COUNTRY,YEAR_x,GDP,GDP_PER_CAP,Q_OF_LIFE,TAX,PRICE_TO_INCOME_RATIO,POLLUTION,CRIME,Healthy life expectancy,Freedom to make life choices,Generosity
Slovak Republic,2017,95393515078.0,17538.0,"152,5",proportional,"9,9","43,5","30,2",,,
Slovenia,2017,48589100043.0,23514.0,"175,5",progressive,"8,3","26,4","24,1",0.790828227996826,0.572575807571411,0.242649093270302
South Africa,2017,381449000000.0,6691.0,"144,7",progressive,"3,6","63,6","75,7",0.187080070376396,0.479246735572815,0.139362379908562
South Korea,2017,1623900000000.0,31617.0,"162,5",progressive,"12,4","52,7","25,3",0.900214076042175,0.257921665906906,0.206674367189407
Spain,2017,1312540000000.0,28170.0,"183,6",progressive,"8,3","37,5","31,3",0.888960599899292,0.408781230449677,0.190133571624756
Sri Lanka,2017,87428128124.0,4077.0,89,progressive,"17,5","61,9","34,6",0.625130832195282,0.561213254928589,0.490863561630249
Sweden,2017,541019000000.0,53792.0,"172,7",progressive,"11,8","17,9","46,6",0.830875158309937,0.612924098968506,0.385399252176285
Switzerland,2017,704479000000.0,83352.0,"173,5",progressive,14,"20,8","22,4",0.858131289482117,0.620070576667786,0.290549278259277
Thailand,2017,456357000000.0,6594.0,"57,2",progressive,"24,4","73,2","49,8",0.647239029407501,0.580200731754303,0.572123110294342
Turkey,2017,858996000000.0,10590.0,"129,6",progressive,"8,9","70,5","41,1",0.637605607509613,0.300740599632263,0.0466930419206619
UAE,2017,385606000000.0,40645.0,"139,3",proportional,"5,6","58,5","20,7",,,
Ukraine,2017,112091000000.0,2638.0,"87,5",proportional,"22,9","67,3","51,3",0.575903952121735,0.122974775731564,0.270061463117599
United Kingdom,2017,2699020000000.0,40858.0,"172,9",progressive,10,"34,9","41,2",0.805335938930511,0.508190035820007,0.492774158716202
United States,2017,19479600000000.0,59915.0,"179,7",progressive,"3,3","31,2","48,8",0.77428662776947,0.505740523338318,0.392578780651093
Vietnam,2017,281353000000.0,2974.0,"36,1",progressive,"26,8","88,1",53,0.652168989181519,0.571055591106415,0.234968051314354
Argentina,2018,524820000000.0,11795.0,"131,8",progressive,"10,7","53,6","61,8",0.695137083530426,0.494519203901291,0.109457060694695
Australia,2018,1428530000000.0,57181.0,"188,7",progressive,"7,4","24,8","42,5",0.84388679265976,0.601607382297516,0.477699249982834
Austria,2018,455168000000.0,51487.0,"190,2",progressive,"9,6","22,9","20,4",0.815328419208527,0.567766189575195,0.316472321748734
Belgium,2018,543347000000.0,47549.0,164,progressive,"7,1","48,9","42,2",0.818091869354248,0.539770722389221,0.231503337621689
Bosnia,2018,20177422311.0,6070.0,"129,3",proportional,,"61,6","40,1",0.705186307430267,0.204403176903725,0.328867495059967
Brazil,2018,1916930000000.0,9151.0,"100,1",progressive,"16,3","59,5","70,6",0.616552352905273,0.437453746795654,0.16234989464283
Bulgaria,2018,66363422450.0,9447.0,"129,7",proportional,"8,6",63,"39,7",0.708217680454254,0.289231717586517,0.113177694380283
Canada,2018,1725330000000.0,46549.0,"173,9",progressive,"6,1","27,7","39,3",0.83455765247345,0.611100912094116,0.435539722442627
Chile,2018,295403000000.0,15772.0,"122,7",progressive,"13,1","66,8","46,5",0.819479703903198,0.376895278692245,0.326662421226501
China,2018,13894800000000.0,9905.0,"99,4",progressive,"28,2","85,9","39,4",0.943062424659729,0.490968644618988,0.374465793371201
China,2018,13894800000000.0,9905.0,"99,4",progressive,"28,2","85,9","39,4",0.741415500640869,0.472787708044052,0.0288068410009146
Colombia,2018,334198000000.0,6730.0,"112,1",progressive,"18,1","62,5","50,7",0.595027923583984,0.477487415075302,0.149014472961426
Croatia,2018,62247874949.0,15228.0,"162,4",progressive,"11,1","32,7",27,0.701288521289825,0.255772292613983,0.248002976179123
Czech Republic,2018,248950000000.0,23420.0,162,proportional,"12,7",41,"28,8",0.754444003105164,0.490946173667908,0.0881067588925362
Denmark,2018,356841000000.0,61592.0,"197,7",progressive,"7,2","23,6",22,0.792565524578094,0.626006722450256,0.355280488729477
Egypt,2018,249713000000.0,2537.0,"84,4",progressive,"12,7","87,6","53,7",0.520187258720398,0.282110154628754,0.128631442785263
Estonia,2018,30489500905.0,23064.0,"176,4",proportional,"9,2","17,2","20,8",0.695168316364288,0.479131430387497,0.0988908112049103
Finland,2018,275715000000.0,49989.0,"195,3",progressive,"7,5","12,1",,0.80915766954422,0.617950856685638,0.24548277258873
France,2018,2790960000000.0,41593.0,"166,2",progressive,"9,9","40,4","45,3",0.844465851783752,0.470222115516663,0.129762306809425
Germany,2018,3977290000000.0,47974.0,190,progressive,8,"27,3","36,7",0.798950731754303,0.562511384487152,0.336269170045853
Greece,2018,212049000000.0,19757.0,"137,4",progressive,"9,5","52,8","39,1",0.810198903083801,0.0957312509417534,0.0
Hong Kong,2018,361731000000.0,48538.0,"110,3",proportional,"41,1","69,4","20,9",,,
Hungary,2018,160587000000.0,16427.0,"132,3",progressive,"13,3","46,6","36,5",0.687763452529907,0.175863519310951,0.0784016624093056
India,2018,2702930000000.0,1998.0,"122,1",progressive,"9,7","75,9","44,2",0.455427616834641,0.469987004995346,0.231538489460945
Indonesia,2018,1042270000000.0,3894.0,"112,9",progressive,"13,1","60,7","44,7",0.492345720529556,0.443323463201523,0.611704587936401
Iran,2018,330992000000.0,4046.0,"92,4",proportional,"12,5","81,2","49,4",0.639333188533783,0.249322608113289,0.387242913246155
Ireland,2018,385042000000.0,79108.0,"163,5",progressive,"7,6","28,7","43,8",0.80978262424469,0.573110342025757,0.42785832285881
Israel,2018,373641000000.0,42063.0,"152,2",progressive,"13,9","60,3","36,9",0.83840399980545,0.405988603830338,0.330082654953003
Italy,2018,2091930000000.0,34622.0,"146,1",progressive,"9,9","53,1","44,5",0.853144347667694,0.256450712680817,0.17278964817524
Japan,2018,5037840000000.0,39727.0,176,progressive,"12,6","41,7","13,1",0.913475871086121,0.505625545978546,0.12057276815176
Lithuania,2018,53750911866.0,19186.0,149,proportional,13,"33,1","37,6",0.62894994020462,0.234231784939766,0.010164656676352
Malaysia,2018,358792000000.0,11380.0,116,progressive,"9,6","66,5","63,1",0.618784427642822,0.402264982461929,0.416608929634094
Mexico,2018,1222410000000.0,9687.0,"126,4",progressive,"7,8","66,1","51,1",0.709978997707367,0.412730008363724,0.120990432798862
Netherlands,2018,914043000000.0,53045.0,"191,3",progressive,"6,7","27,2","28,9",0.810696125030518,0.585384488105774,0.470489829778671
New Zealand,2018,211953000000.0,43250.0,"182,4",progressive,"8,2","21,8","39,2",0.816759705543518,0.614062130451202,0.500005125999451
Norway,2018,437000000000.0,82268.0,"176,3",progressive,"8,7","20,2","43,3",0.796666502952576,0.635422587394714,0.36201223731041
Pakistan,2018,356128000000.0,1678.0,"100,3",progressive,"12,5","77,5","51,2",0.402047783136368,0.23521526157856,0.315446019172668
Philippines,2018,346842000000.0,3252.0,"99,1",progressive,"17,8","72,5","40,1",0.468009054660797,0.585214674472809,0.193513423204422
Poland,2018,587412000000.0,15468.0,"146,6",progressive,"9,8","51,1","36,2",0.699475347995758,0.520342111587524,0.158465966582298
Portugal,2018,242313000000.0,23563.0,"166,7",progressive,10,"30,5","34,5",0.795843541622162,0.498465299606323,0.0951027125120163
Qatar,2018,183335000000.0,65908.0,"159,6",proportional,,"70,2","15,7",0.710098087787628,0.604130983352661,0.330473870038986
Romania,2018,241457000000.0,12399.0,144,progressive,"9,1",53,29,0.685158312320709,0.457003742456436,0.133519917726517
Russia,2018,1657330000000.0,11287.0,"103,3",proportional,"11,4","63,3","45,2",0.547349333763123,0.373783111572266,0.0522638224065304
Saudi Arabia,2018,816579000000.0,24229.0,"149,6",progressive,"2,8","71,7","36,7",0.590148329734802,0.449750572443008,0.147616013884544
Serbia,2018,50640650221.0,7252.0,"123,5",progressive,"17,2","56,6","37,8",0.65078467130661,0.208715528249741,0.220125883817673
Slovak Republic,2018,105613000000.0,19390.0,"155,4",proportional,"9,9","40,7","30,2",,,
Slovenia,2018,54163591695.0,26117.0,"175,4",progressive,"8,4","26,2","24,7",0.790828227996826,0.572575807571411,0.242649093270302
South Africa,2018,404842000000.0,7005.0,"137,9",progressive,"3,5","62,2","75,7",0.187080070376396,0.479246735572815,0.139362379908562
South Korea,2018,1724850000000.0,33437.0,"155,4",progressive,14,"52,9","35,8",0.900214076042175,0.257921665906906,0.206674367189407
Spain,2018,1420990000000.0,30365.0,"174,9",progressive,8,"38,1","36,7",0.888960599899292,0.408781230449677,0.190133571624756
Sweden,2018,555455000000.0,54589.0,"176,8",progressive,"10,5","19,1","49,3",0.830875158309937,0.612924098968506,0.385399252176285
Switzerland,2018,735539000000.0,86388.0,"190,8",progressive,"10,9",23,"21,8",0.858131289482117,0.620070576667786,0.290549278259277
Thailand,2018,506755000000.0,7299.0,"101,2",progressive,"22,8","72,9","47,3",0.647239029407501,0.580200731754303,0.572123110294342
Turkey,2018,778472000000.0,9454.0,"127,6",progressive,"8,9","69,4","41,1",0.637605607509613,0.300740599632263,0.0466930419206619
UAE,2018,422215000000.0,43839.0,"163,5",proportional,"4,9","55,8","18,7",,,
Ukraine,2018,130891000000.0,3097.0,96,proportional,"18,2","67,2","49,4",0.575903952121735,0.122974775731564,0.270061463117599
United States,2018,20527200000000.0,62805.0,"180,6",progressive,"3,3","31,7","49,6",0.77428662776947,0.505740523338318,0.392578780651093
United Kingdom,2018,2900790000000.0,43647.0,"171,9",progressive,"9,3","37,7","41,2",0.805335938930511,0.508190035820007,0.492774158716202
Vietnam,2018,308702000000.0,3231.0,"81,1",progressive,"21,3","88,1","52,2",0.652168989181519,0.571055591106415,0.234968051314354
Argentina,2019,452818000000.0,10076.0,"122,5",progressive,19,"52,3","62,6",0.695137083530426,0.494519203901291,0.109457060694695
Australia,2019,1391950000000.0,54875.0,"191,1",progressive,"7,6",24,"42,8",0.84388679265976,0.601607382297516,0.477699249982834
Austria,2019,445012000000.0,50114.0,"191,1",progressive,"10,1",22,"21,4",0.815328419208527,0.567766189575195,0.316472321748734
Belarus,2019,64409647194.0,6838.0,"141,5",proportional,"14,3",36,"26,6",0.637714266777039,0.295400261878967,0.15513750910759
Belgium,2019,535376000000.0,46599.0,"162,1",progressive,"7,2","49,9","42,5",0.818091869354248,0.539770722389221,0.231503337621689
Bosnia,2019,20201323283.0,6120.0,"124,5",proportional,,"63,5","43,8",0.705186307430267,0.204403176903725,0.328867495059967
Brazil,2019,1873290000000.0,8876.0,"100,3",progressive,"18,7","57,7","70,2",0.616552352905273,0.437453746795654,0.16234989464283
Bulgaria,2019,68915416142.0,9879.0,"130,6",proportional,"8,7",64,40,0.708217680454254,0.289231717586517,0.113177694380283
Canada,2019,1742020000000.0,46329.0,"170,3",progressive,"7,7","27,8","39,5",0.83455765247345,0.611100912094116,0.435539722442627
Chile,2019,278585000000.0,14699.0,"124,1",progressive,"13,5","65,5","46,8",0.819479703903198,0.376895278692245,0.326662421226501
China,2019,14279900000000.0,10144.0,"97,9",progressive,"29,1","81,9","45,5",0.943062424659729,0.490968644618988,0.374465793371201
China,2019,14279900000000.0,10144.0,"97,9",progressive,"29,1","81,9","45,5",0.741415500640869,0.472787708044052,0.0288068410009146
Colombia,2019,323110000000.0,6419.0,"108,4",progressive,"18,8","61,7","51,3",0.595027923583984,0.477487415075302,0.149014472961426
Croatia,2019,62246206341.0,15312.0,"165,3",progressive,"11,6",31,"24,7",0.701288521289825,0.255772292613983,0.248002976179123
Cyprus,2019,25758357775.0,29206.0,"157,6",progressive,"7,2","53,8","29,3",0.84471470117569,0.355111539363861,0.271254301071167
Czech Republic,2019,252498000000.0,23660.0,"158,8",proportional,"15,2",41,"26,7",0.754444003105164,0.490946173667908,0.0881067588925362
Denmark,2019,347561000000.0,59776.0,"198,6",progressive,"6,9","22,1","24,2",0.792565524578094,0.626006722450256,0.355280488729477
Egypt,2019,303081000000.0,3019.0,84,progressive,"13,6","86,5","50,7",0.520187258720398,0.282110154628754,0.128631442785263
Estonia,2019,31045591753.0,23398.0,"180,9",proportional,"9,3","18,1","20,8",0.695168316364288,0.479131430387497,0.0988908112049103
Finland,2019,268508000000.0,48629.0,194,progressive,8,"11,9","22,8",0.80915766954422,0.617950856685638,0.24548277258873
France,2019,2728870000000.0,40579.0,"157,8",progressive,"12,9","42,7","46,4",0.844465851783752,0.470222115516663,0.129762306809425
Georgia,2019,17470436259.0,4696.0,"120,9",proportional,"12,7","72,7","20,8",0.649546980857849,0.309410035610199,0.0540088154375553
Germany,2019,3888330000000.0,46795.0,187,progressive,9,28,"34,5",0.798950731754303,0.562511384487152,0.336269170045853
Greece,2019,205144000000.0,19134.0,"137,8",progressive,"9,8","51,9","38,6",0.810198903083801,0.0957312509417534,0.0
Hong Kong,2019,363052000000.0,48356.0,"100,9",proportional,"49,4","66,4","19,3",,,
Hungary,2019,163526000000.0,16736.0,"134,5",progressive,"12,6","46,5","35,2",0.687763452529907,0.175863519310951,0.0784016624093056
Iceland,2019,24857740445.0,68941.0,"187,8",progressive,,"15,2","23,3",0.833552122116089,0.627162635326385,0.475540220737457
India,2019,2831550000000.0,2072.0,"117,5",progressive,"11,3","75,8","42,7",0.455427616834641,0.469987004995346,0.231538489460945
Indonesia,2019,1119100000000.0,4135.0,"107,2",progressive,"13,8","62,8",46,0.492345720529556,0.443323463201523,0.611704587936401
Iran,2019,291363000000.0,3514.0,87,proportional,"16,9","79,3",,0.639333188533783,0.249322608113289,0.387242913246155
Ireland,2019,399122000000.0,80887.0,"160,8",progressive,"7,9","31,1","44,5",0.80978262424469,0.573110342025757,0.42785832285881
Israel,2019,397935000000.0,43951.0,"153,8",progressive,14,"57,3","32,2",0.83840399980545,0.405988603830338,0.330082654953003
Italy,2019,2011290000000.0,33673.0,"145,7",progressive,10,"53,8",45,0.853144347667694,0.256450712680817,0.17278964817524
Japan,2019,5123320000000.0,40458.0,"180,5",progressive,"11,2","37,1",14,0.913475871086121,0.505625545978546,0.12057276815176
Jordan,2019,44502895915.0,4405.0,"112,9",progressive,"7,7","80,4","43,8",0.604590058326721,0.418421149253845,0.172170460224152
Latvia,2019,34308783825.0,17927.0,"149,2",proportional,"9,4",35,"36,8",0.638566970825195,0.325707912445068,0.153074786067009
Lebanon,2019,51605959131.0,7527.0,"111,2",progressive,"13,4","87,4","44,3",0.735081076622009,0.288515985012054,0.264450758695602
Lithuania,2019,54697379017.0,19576.0,"156,4",proportional,"11,1","30,8","36,5",0.62894994020462,0.234231784939766,0.010164656676352
Malaysia,2019,365276000000.0,11433.0,"122,1",progressive,"9,8","63,7",61,0.618784427642822,0.402264982461929,0.416608929634094
Mexico,2019,1269400000000.0,9950.0,"123,5",progressive,"10,2",66,"52,3",0.709978997707367,0.412730008363724,0.120990432798862
Netherlands,2019,910194000000.0,52476.0,"188,9",progressive,"7,4","27,4",29,0.810696125030518,0.585384488105774,0.470489829778671
